Powder(um),Grade,Speed,Power,Hatch,Thickness,Energy density,orientation,Heat temperature,Heat time,Machined,Polished,HIPed,HIP pressure (bar),Ra,Rt,Rq,Rz,f,Smax,Sa,R,N,Censor,Ref,Complete No,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,611.672,611.672,-1,3873.605,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,370.978,370.978,-1,13879.95,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,351.104,351.104,-1,19096.6,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,366.562,366.562,-1,22399.6,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,119.243,119.243,-1,355765.65,1,57,7,
15-45,23,1200,280,140,30,55.56,vertical,704,1,0,0,0,1,NA,NA,NA,NA,NA,121.451,121.451,-1,10000000,0,57,7,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,849.718,849.718,-1,271.572,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,748.87,748.87,-1,3630.09,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,750.847,750.847,-1,4186.98,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,750.847,750.847,-1,5064.6,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,650,650,-1,12211.7,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,651.977,651.977,-1,16637,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,651.977,651.977,-1,19189.2,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,549.153,549.153,-1,30153.6,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,43082.2,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,549.153,549.153,-1,92230.8,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,1.26E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,2.17E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,61554,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,1.04E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,1.32E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,1.84E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,4.13E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,398.87,398.87,-1,5.90E+05,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,400.847,400.847,-1,1.64E+06,1,78,,
NA,NA,1000,350,NA,60,NA,0 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,400.847,400.847,-1,2.64E+06,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,750.847,750.847,-1,1955.79,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,750.847,750.847,-1,2255.83,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,17447.6,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,23211.5,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,551.13,551.13,-1,26772.3,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,25528.5,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,499.718,499.718,-1,29444.8,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,400.847,400.847,-1,54651.7,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,400.847,400.847,-1,66107.1,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,400.847,400.847,-1,1.88E+05,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,351.412,351.412,-1,79963.6,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,349.435,349.435,-1,1.12E+05,1,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,349.435,349.435,-1,1.00E+07,0,78,,
NA,NA,1000,350,NA,60,NA,90 degree,800,5,0,0,0,1,NA,NA,NA,NA,20,300,300,-1,1.00E+07,0,78,,

